,Title,Company Name,Location,Work Type,Description
238,AI工程研发工程师,"
                  北京致远慧图科技有限公司
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
239,应用开发工程师,"
                  Telling Telecommunication Holding Co., Ltd.
                ","
                Nanjing, Jiangsu, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
240,运维TL,"
                  阿里巴巴(中国)有限公司
                ","
                Hangzhou, Zhejiang, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
241,通信工程师,"
                  南京控维通信科技有限公司
                ","
                Nanjing, Jiangsu, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
242,后台开发工程师,"
                  SmartMore Corporation
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
243,AI工具链开发工程师,"
                  Goke Micoelectronics Co., Ltd.
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
244,Data Scientist - Production AI(000737),"
                  巴斯夫中国
                ","
                Nanjing, Jiangsu, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
245,Android多媒体软件工程师,"
                  深圳黑鲨科技有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
246,"Senior UI Developer - (Remote, Anywhere in APAC)","
                  Design Everest
                ","
                APAC
              ",Remote," Why Design Everest?   Design Everest is a technology-enabled managed marketplace for the architecture, engineering, and construction (AEC) industry. We connect owners with architects, engineers, and contractors while utilizing automation and project management to simplify the complex pre-construction process. Currently providing architecture and engineering services in California, Design Everest plans to expand its services offered to build the next generation AEC platform nationally and globally in the long run.   The opportunity   We are seeking an experienced full time Senior UI Developer to join our global home-based remote teams. This is the perfect opportunity for an experienced UI engineer with an entrepreneurial spirit to build best in class web and mobile applications for two-sided market platforms that users love and will disrupt the AEC industry.   What will you do:   Design and Build sophisticated and highly scalable apps using Flutter   Collaborated actively with UX-UI designers and product owner rapidly grasp a problem and apply industry-standard technologies towards the   User Interface solutions   Takes ownership of customer problems, works diligently to solve those and measure success both quantitatively and qualitatively.   Responsible for analysis, design, estimation, code, automated test, deploy and maintenance of responsive, intuitive and user-friendly interfaces that is continuously improved to deliver increasing value to user   Inspires and motivates team members to set high standards of excellence and commitment to a common goal   Work on a small team, in an agile development environment, keeping the team up to date on progress, workflow, and blockers   What you bring to the table:   Bachelor’s degree, preferably in computer science, information systems, or related experience. Minimum 5 years’ experience in UI development using Angular, SCSS and HTML Comfortable with CI/CD pipelines using Git &amp; any CI/CD tools Experience working in an Agile- or Scrum-based environment Solid organizational skills including attention to detail and multitasking skills Desire to work on a platform that is relentlessly customer focused at early stage startup Must have excellent communication skills, both written and oral, and a strong work ethic. A self-starter capable of working independently with minimal supervision.    What’s in it for you:   100% remote work Working for a fast growth silicon valley startup that is funded &amp; has product market fit Competitive compensation plan and benefits PTO    Design Everest is proud to be an equal opportunity employer and committed to having a diverse and inclusive workforce from all backgrounds and parts of the world.   Design Everest does not accept unsolicited resumes from agencies. "
247,上位机软件工程师,"
                  青岛海泰新光科技股份有限公司
                ","
                Qingdao, Shandong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
248,信创技术负责人,"
                  上海泛微网络科技股份有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
249,Python开发工程师,"
                  浙江智加信息科技有限公司
                ","
                Ningbo, Zhejiang, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
250,Full Stack Software Engineer,"
                  上海华钦信息科技股份有限公司
                ","
                Tianjin, Tianjin, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
251,AI算法及应用工程师- 校园招聘,"
                  Huawei
                ","
                Chengdu, Sichuan, China
              ",On-site,  Job Responsibilities    1、从事深度学习、人工智能技术研究，包括但不限于研究前沿算法模型、视觉应用、创新训练学习方法、神经网络模型压缩及计算优化等； 2、研究实现AI应用原型，技术领航业界。申请专利发表研究论文。    Position Requirements    1、人工智能、计算机视觉、信号处理、图像处理、计算机软件、电子信息、应用数学、通信等相关专业，掌握人工智能基础知识； 2、具备下述技能和经验者优先： （1）熟悉深度学习算法模型及平台使用，具有视觉研究经验或者在国际会议期刊发表论文者优先； （2）熟练的Python/C/C++编程经验，数学功底扎实，英语沟通能力强 ； （3）已有原型开发经验。 
252,智能车舱-Android软件开发工程师,"
                  SenseTime 商汤科技
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
253,应用工程师,"
                  北京瞰瞰科技有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
254,software engineer,"
                  翱捷科技
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
255,安卓开发工程师,"
                  中电金信（上海）软件有限公司
                ","
                Xi'an, Shaanxi, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
256,应用软件工程师,"
                  湖南中南智能装备有限公司
                ","
                Changsha, Hunan, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
257,感知融合算法工程师,"
                  ThunderSoft
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
258,Software Engineer,"
                  飞协博国际货运代理(上海)有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
259,容器开发工程师,"
                  云宏信息科技股份有限公司
                ","
                Guangzhou, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
260,Developer(Digital Cockpit) - DOS - DRD - OFS - Beijing/Shanghai,"
                  PwC Mainland China and Hong Kong
                ","
                Beijing, Beijing, China
              ",On-site,"  Line of Service Advisory   Industry/Sector Not Applicable   Specialism Application &amp; Emerging Technology   Management Level Manager   Job Description &amp; Summary    Responsibilities1. Responsible for demand management and future product planning such as intelligent cockpit system connection, multi-screen, digital instrument integration, vehicle comfort system control, etc.2. Organize the implementation of the intelligent cockpit software and hardware development process and development specifications; technical feasibility, workload assessment, function analysis, function realization and process follow-up in the cockpit product design process.3. Responsible for formulating the overall framework of the software and hardware of the cockpit system, the design of key components and interfaces, and the preparation of system architecture design documents.4. Guide, coordinate, support, and review the sub-architecture design of each development team; assist the product team in business sorting.5. Responsible for collaborative development of technical research and problem solving of difficult problems; pre-research industry forward-looking technologies and related demos.1.负责智能座舱系统连接、多屏化、数字仪表融合、整车舒适系统控制等需求管理和未来产品规划工作。2. 组织实施智能座舱软硬件开发流程和开发规范；座舱产品设计过程中的技术可行性、工作量评估、功能分析、功能实现及流程跟进。3. 负责制定座舱系统软硬件的整体框架，关键构件、接口的设计，编写系统架构设计文档。4. 指导、协调、支持、审核各开发团队子架构设计；协助产品团队进行业务梳理。5. 负责协同开发疑难问题的技术攻关和问题解决；预研业界前瞻技术和相关Demo。Requirements1.Bachelor degree or above in telecommunication engineering, E/E engineering, computer scienc or similar.2.5+ years of professional experience in intelligent cockpit system architecture design.3. Proficient in programming languages such as C, C++ or Java, and proficient in software design patterns;4. Familiar with common operating systems, such as: QNX, Linux, Android, etc., have a deep understanding of Graphics, Audio, Camera and other subsystems.5. Proficient in MVC, MVVM and other design models, have an in-depth understanding of design patterns, and be able to apply them flexibly.6. Proficient in Android or Linux application performance optimization, memory optimization, etc.7. Have a deep understanding of vehicle electronic and electrical architecture, vehicle Ethernet, and SOA, and have the support of multiple vehicle mass production projects.8. Familiar with industry technology and have a forward-looking understanding of the future direction of vehicle intelligence.9. English CET4 and above.1.通信工程、汽车电子工程、计算机科学或类似专业本科以上学历。2.5年以上智能座舱系统架构设计工作经验。3.精通C或C++或Java等编程语言, 熟练掌握软件设计模式；4.熟悉常见的操作系统，如：QNX，Linux，Android等，对Graphics, Audio, Camera等子系统有较深了解。5.熟练掌握MVC，MVVM等设计模型，对于设计模式有深入的了解，并能灵活应用。6.精通Android或Linux应用性能优化，内存优化等。7. 对整车电子电器架构、车载以太网、SOA有较深了解,有多个车型量产项目支持。8.对行业技术熟悉、对未来整车智能化方向有前瞻的认知。9. 英语CET4及以上。The PwC China (including Mainland China, Hong Kong, Macau) does not accept unsolicited resumes from search firm recruiters. Fees will not be paid in the event a candidate submitted by a recruiter without an agreement in place is hired; such resumes will be deemed the sole property of PwC China (including Mainland China, Hong Kong, Macau). PwC China (including Mainland China, Hong Kong, Macau) is an equal opportunity employer. All aspects of employment will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under the local law.   Education (if blank, degree and/or field of study not specified) Degrees/Field of Study required:Degrees/Field of Study preferred:   Certifications (if blank, certifications not specified)    Required Skills    Optional Skills     Desired Languages (If blank, desired languages not specified)     Travel Requirements Not Specified   Available for Work Visa Sponsorship? Yes   Government Clearance Required? No   Job Posting End Date                           "
261,AI系统平台开发工程师,"
                  Svolt Energy Technology Co., Ltd.
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
262,计算机视觉算法工程师,"
                  上海芯寻科技有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
263,B/T Software engineer,"
                  晶晨半导体(上海)股份有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
264,数据科学家,"
                  上海冰鉴信息科技有限公司
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
265,Android软件工程师,"
                  上海佩琪信息技术有限公司
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
266,Software Engineer软件工程师,"
                  JOT自动化技术(北京)有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
267,DF-时序数据库研发工程师,"
                  苏州云杉世纪网络科技有限公司
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
268,安卓开发工程师,"
                  兴业数字金融服务(上海)股份有限公司
                ","
                Chengdu, Sichuan, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
269,android应用开发工程师,"
                  Great Wall Motor Co., Ltd.
                ","
                Tianjin, Tianjin, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
270,c#软件开发工程师,"
                  广州辰创科技发展有限公司
                ","
                Chengdu, Sichuan, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
271,后端工程师,"
                  MioTech
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
272,Backend Engineer,"
                  Otis Elevator Co.
                ","
                Shanghai, Shanghai, China
              ",On-site," Date Posted:  2021-01-20-08:00   Country:  China   Location:  LOC3344: Building 5, No 518,North Fuquan Road，ChangNing District , Shanghai，China   Backend Engineer    Otis is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.    Privacy Policy and Terms:  Click on this link to read the Policy and Terms "
273,大数据开发（数据分析、数据挖掘）或算法工程师,"
                  SF Technology
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
274,GPU Software Engineer,"
                  中天恒星（上海）科技有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
275,上位机软件工程师,"
                  南京益昂通信技术有限公司
                ","
                Nanjing, Jiangsu, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
276,Data Scientist,"
                  Michael Page
                ","
                Guangzhou, Guangdong, China
              ",On-site,"  A stable development platform|Work-Life Balance     About Our Client  Our client is a stable and developing financial platform, which is currently undergoing technological upgrading and digital transformation.   Job Description  You will be expected to identify key trends that arise from the insights of customer data and work with other areas in RBWM to ensure they are taken account of. You should be a self-driven person by nature in taking full ownership of the deliverables. You need to use company provided software tools to extract, collect, manipulate (e.g. subset and merge) raw data to prepare for further analysis.   The Successful Applicant   Bachelor (minimum with 5+ year experience) or Master degree (with 3+ year experience) in relevant quantitative disciplines Hands-on knowledge in machine learning, natural language processing/generation Strong retail banking products or wealth management business knowledge Experience in SQL, NoSQL, Hadoop/Spark, AWS Strong interpersonal skills and ability to build and maintain relationships.    What's On Offer  A stable development platform   Work-Life Balance   Contact: Jasmine Tang  Quote job ref: 4202792  "
277,Application Software Engineer (职位编号：001007),"
                  HYGON
                ","
                Chengdu, Sichuan, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
278,AI算法及应用工程师- 校园招聘,"
                  Huawei
                ","
                Beijing, Beijing, China
              ",On-site,  Job Responsibilities    1、从事深度学习、人工智能技术研究，包括但不限于研究前沿算法模型、视觉应用、创新训练学习方法、神经网络模型压缩及计算优化等； 2、研究实现AI应用原型，技术领航业界。申请专利发表研究论文。    Position Requirements    1、人工智能、计算机视觉、信号处理、图像处理、计算机软件、电子信息、应用数学、通信等相关专业，掌握人工智能基础知识； 2、具备下述技能和经验者优先： （1）熟悉深度学习算法模型及平台使用，具有视觉研究经验或者在国际会议期刊发表论文者优先； （2）熟练的Python/C/C++编程经验，数学功底扎实，英语沟通能力强 ； （3）已有原型开发经验。 
279,生物信息工程师,"
                  北京智源人工智能研究院
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
280,电源软件工程师,"
                  Shenzhen Inovance Technology Co., Ltd
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
281,C#软件工程师,"
                  北京新田科技有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
282,图像算法,"
                  南京亿猫信息技术有限公司
                ","
                Nanjing, Jiangsu, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
283,电源软件工程师,"
                  Wyser
                ","
                Shanghai, Shanghai, China
              ",On-site," 岗位职责：    负责储能或车载电源产品（DCDC,DCAC）算法仿真和开发； 负责储能或车载电源产品应用层软件开发； 负责电源产品算法调试和验证； 负责相关技术文档的编写； 负责算法和软件开发流程规范建立；    任职要求：    熟悉ARM、DSP等芯片的C语言开发； 熟练掌握电力电子各种拓扑的控制算法和逻辑功能； 有3年及以上储能PCS、DCDC、车载OBC、车载DCDC、电机控制器或相关电源产品软件开发经验； 具有较好的沟通能力，具有较好团队协作能力；    "
284,AI开发工程师,"
                  RealDrive视驰科技
                ","
                Fuzhou, Fujian, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
285,IOS开发工程师,"
                  深圳市吉迩科技有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
286,ADAS感知融合算法工程师,"
                  天津耀森网络科技有限公司
                ","
                Shanghai, Shanghai, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
287,配置管理工程师,"
                  RIGOL TECHNOLOGIES
                ","
                Suzhou, Jiangsu, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
288,AI 软件工程师,"
                  北京智芯微电子科技有限公司
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
289,python开发工程师,"
                  新奇点智能科技集团有限公司
                ","
                Hangzhou, Zhejiang, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
290,应用层软件工程师,"
                  Jiangling Motors Co., Ltd
                ","
                Nanchang, Jiangxi, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
291,自动化软件工程师,"
                  珠海广浩捷科技股份有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
292,高级后端开发工程师,"
                  北京数字绿土科技有限公司
                ","
                Wuhan, Hubei, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
293,AI软件开发工程师,"
                  Inspur Group
                ","
                Jinan, Shandong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
294,python开发工程师,"
                  南京控维通信科技有限公司
                ","
                Shijiazhuang, Hebei, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
295,数据科学家,"
                  东莞太力生物工程有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
296,GPU编译器工程师-成都,"
                  Moore Threads Technology Co. Ltd.
                ","
                Chengdu, Sichuan, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
297,智能汽车-Android软件开发工程师-广州,"
                  iFLYTEK Co., Ltd.
                ","
                Guangzhou, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
298,C#应用软件工程师,"
                  Sunward Intelligent Equipment Co., Ltd.
                ","
                Changsha, Hunan, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
299,"Software Engineer, .NET tooling, runtimes and ecosystem","
                  Canonical
                ","
                Xiamen, Fujian, China
              ",Remote," We are building a new team to focus on the .NET ecosystem on Ubuntu. They will deliver the best possible .NET runtimes and supporting tooling in Ubuntu, and enable Ubuntu users access to the wider .NET ecosystem. Our goal is to enable mission-critical .NET applications to be deployed and operated safely, securely and efficiently on large-scale Ubuntu estates. We are also keen to ensure that the cutting edge of Jav.NET innovation is available to Ubuntu users, to lay the foundation for future inventions and open source communities.   This is an exciting opportunity for a software engineer passionate about open source software, Linux systems and software architectures and Microsoft .NET technology. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing international software company and make Ubuntu the best operating system to develop and run your .NET applications in the cloud, in datacenters, in containers, directly on the operating system, and anywhere .NET and Ubuntu can run.   The .NET ecosystem has for a long time had a place in the Linux world thanks to projects like Mono. With the advent of .NET Core, and now .NET 5 and 6, the .NET ecosystem as a whole has embraced Linux, with an emphasis on fast, scalable and reliable containerised applications. We intend for Ubuntu to excel as an operating system for developing and running .NET applications on Linux in a secure, reliable, performant and future-proof fashion. We build on the technical excellence of Debian and bring additional focus and shape to the solutions we offer. Applicants will be passionate about the future of .NET, of Ubuntu, mindful of the dynamics of the open-source ecosystem, and equally aware of the needs of large but innovative organisations.   As part of the Ubuntu Foundations team, you will work on the architecture, design and development of core components of the Ubuntu Distribution related to the .NET Framework for Linux, and associated development and operations tooling. You will be discussing designs with other team members and product managers, mentoring other engineers and participating in technical reviews. You will also work with other teams to ensure architectural decisions and improve the overall performance and experience of Ubuntu. As a member of the Ubuntu Foundations team, your work will have an impact on every aspect of the Ubuntu ecosystem from Desktop, Server, Ubuntu Core and cloud images. And you will work closely with many other teams as well as outsider partners to ensure .NET in Ubuntu containers, servers, clouds is the best .NET there is.   We believe that developers working with .NET all around the world should have a Linux operating system that makes their job easy and pleasant. Come join us and let's make this happen!    What You'll Do    Collaborate proactively with a distributed team Work with highly technical and invested product managers to define and shape the roadmap of .NET and tooling in Ubuntu Select, integrate and package best-of-breed tooling with Ubuntu to improve developer and operator experience for .NET Write high quality code to create new features Debug issues and produce high quality code to fix them Review code produced by other engineers Discuss ideas and collaborate on finding good solutions Work from home with global travel 2 to 4 weeks a year for internal and external events     Who You Are    You love technology and working with brilliant people You are passionate, curious, flexible, articulate, and accountable You are a long-time Linux user You have experience or are interested in learning how to package software for Debian and Ubuntu You have professional .NET experience, ideally in the world of cloud-native software, including direct experience with .NET applications building through the CLI and through automated pipelines, and have some knowledge of .NET internals You have a Bachelor's or equivalent in Computer Science, STEM or similar degree You value soft skills and are passionate, enterprising, thoughtful, and self-motivated    What Canonical Offers:   Learning and development Annual compensation review Recognition rewards Annual leave Priority Pass for travel    What is Canonical?  Canonical is a growing international software company that works with the open-source community to deliver Ubuntu, ""the world's best free software platform"". Our mission is to realise the potential of free software in the lives of individuals and organisations. Our services are helping individuals and businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu.   We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products.  Whatever your identity, we will give your application fair consideration  .  "
300,APP应用开发工程师,"
                  深圳市芯智科技有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
301,IOS开发工程师,"
                  兴业数字金融服务(上海)股份有限公司
                ","
                Shenzhen, Guangdong, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
302,自然语言处理算法工程师,"
                  杭州实在智能科技有限公司
                ","
                Hangzhou, Zhejiang, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
303,python后端开发工程师,"
                  Momenta
                ","
                Beijing, Beijing, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
304,android应用开发工程师,"
                  北京指掌易科技有限公司
                ","
                Dalian, Liaoning, China
              ",On-site,"<span class=""artdeco-inline-feedback__message""> This job is sourced from a job board. <button aria-label=""Learn more"" class=""artdeco-inline-feedback__linktext"" type=""button"">Learn more </button>"
